□	□□□	□	□	□
〇	〇〇〇	〇	〇	〇
㐀	㐀卝一一	一	一	卝一
㐁	㐁一口一	一	一	一口
㐂	㐂七七一	一	一	七七
㐃	㐃厶丨丨	丨	丨	厶丨
㐄	㐄十乙丨	丨	丨	十乙
㐅	㐅丿乀丿	丿	丿	丿乀
㐆	㐆乙丿	丿	丿	乙
㐇	㐇九乙乙	乙	乙	九乙
㐈	㐈入乙乙	乙	乙	入乙
㐉	㐉丁乙乙	乙	乙	丁乙
㐊	㐊士乙乙	乙	乙	士乙
㐋	㐋土乙乙	乙	乙	土乙
㐌	㐌也乙	乙	乙	也
㐍	㐍爫乙乙	乙	乙	爫乙
㐎	㐎文乙乙	乙	乙	文乙
㐏	㐏五乙乙	乙	乙	五乙
㐐	㐐奴乙乙	乙	乙	奴乙
㐑	㐑冬乙乙	乙	乙	冬乙
㐒	㐒召乙乙	乙	乙	召乙
㐓	㐓可乙乙	乙	乙	可乙
㐔	㐔亠乙乙	乙	乙	亠乙
㐕	㐕由乙乙	乙	乙	由乙
㐖	㐖吉乙乙	乙	乙	吉乙
㐗	㐗老乙乙	乙	乙	老乙
㐘	㐘米乙乙	乙	乙	米乙
㐙	㐙豆乙乙	乙	乙	豆乙
㐚	㐚吾乙乙	乙	乙	吾乙
㐛	㐛佑乙乙	乙	乙	佑乙
㐜	㐜求九乙	乙	乙	求九
㐝	㐝拘乙乙	乙	乙	拘乙
㐞	㐞其乙乙	乙	乙	其乙
㐟	㐟非乙乙	乙	乙	非乙
㐠	㐠乳乙乙	乙	乙	乳乙
㐡	㐡九大乙	乙	乙	九大
㐢	㐢浮乙乙	乙	乙	浮乙
㐣	㐣庫乙乙	乙	乙	庫乙
㐤	㐤九真乙	乙	乙	九真
㐥	㐥鋤乙乙	乙	乙	鋤乙
㐦	㐦擧乙乙	乙	乙	擧乙
㐧	㐧丶丿亅	亅	亅	丶丿
㐨	㐨予予亅	亅	亅	予予
㐩	㐩井井二	二	二	井井
㐪	㐪大凵亠	亠	亠	大凵
㐫	㐫亠凶亠	亠	亠	亠凶
㐬	㐬亠川亠	亠	亠	亠川
㐭	㐭亠回亠	亠	亠	亠回
㐮	㐮六井亠	亠	亠	六井
㐯	㐯亠香亠	亠	亠	亠香
㐰	㐰亻口人	人	人	亻口
㐱	㐱人彡人	人	人	人彡
㐲	㐲亻大人	人	人	亻大
㐳	㐳亻兀人	人	人	亻兀
㐴	㐴亻夕人	人	人	亻夕
㐵	㐵亻于人	人	人	亻于
㐶	㐶亻巳人	人	人	亻巳
㐷	㐷亻马人	人	人	亻马
㐸	㐸亻欠人	人	人	亻欠
㐹	㐹亻气人	人	人	亻气
㐺	㐺亻人人	人	人	亻人
㐻	㐻亻内人	人	人	亻内
㐼	㐼亻升人	人	人	亻升
㐽	㐽亻风人	人	人	亻风
㐾	㐾亻元人	人	人	亻元
㐿	㐿亻手人	人	人	亻手
