term	常用	pos1	pos2	description
安	是	代词	疑问代词	问处所，跟“哪里”相同：而今～在？
安	是	代词	疑问代词	表示反问，跟“怎么、哪里”相同：不入虎穴，～得虎子？｜～能若无其事？
俺	是	代词	人称代词	我们（不包括听话的人）：你先去，～几个随后就到。
俺	是	代词	人称代词	我：你们都走吧，～一个人留下就行了。
本	是	代词	指示代词	代指示代词。指自己方面的：～厂｜～校｜～国。
本	是	代词	指示代词	代指示代词。指现今的：～年｜～月。
本人	是	代词	人称代词	说话人指自己
本人	是	代词	人称代词	指当事人自己或前边所提到的人自己
本身	是	代词	指示代词	自身（多指集团、单位或事物）
彼	是	代词	指示代词	指示代词。那；那个（跟“此”相对）：～时｜此起～伏｜由此及～。
彼	是	代词	人称代词	人称代词。对方；他：知己知～｜～退我进。
彼此	是	代词	人称代词	那个和这个；双方
彼此	是	代词	人称代词	客套话，表示大家一样（常叠用作答话）
别的	是	代词		代其他的；另外的(～人｜～事情｜不买～，就买这些。
别人	是	代词	人称代词	指自已或某人以外的人
此	是	代词	指示代词	这；这个（跟“彼”相对）：～人｜～时｜由～及彼｜～呼彼应。
此	是	代词	指示代词	表示此时或此地：就～告别｜谈话就～结束｜从～病有起色｜由～往西。
此	是	代词	指示代词	这样：长～以往｜当时听劝，何至于～。
大伙儿	是	代词	人称代词	“大家”2
大家	是	代词	人称代词	指一定范围内所有的人
底	是	代词	疑问代词	代疑问代词。何；什么：～处｜～事。
底	是	代词	指示代词	此；这：竹篱茅舍，～是藏春处。
底	是	代词	指示代词	如此；这样：长歌～有情。
多会儿		代词	疑问代词	什么时候；几时。a）用在疑问句里，问时间
多久	是	代词		代询问时间长短(你等了～? 
多少	是	代词	疑问代词	问数量
多少	是	代词	疑问代词	表示不定的数量
多咱	是	代词	疑问代词	＜方＞代疑问代词。什么时候；几时（用法跟“多会儿”相同）
多早晚		代词	疑问代词	多咱（“多咱”就是由“多早晚”变来的）。
尔	是	代词	人称代词	代人称代词。你：～曹｜非～之过。
尔	是	代词	指示代词	代指示代词。如此；这样：果～｜不过～～｜何其相似乃～。
尔	是	代词	指示代词	代指示代词。那；这：～日｜～时。
夫	是	代词	指示代词	代指示代词。那；这：独不见～螳螂乎？
夫	是	代词	人称代词	代人称代词。他：使～往而学焉。
该	是	代词	指示代词	代指示代词。指上文说过的人或事物（多用于公文）：～地交通便利｜～生品学兼优。
干吗	是	代词	疑问代词	干什么
各	是	代词	指示代词	代指示代词。a）表示不止一个：世界～国｜～位来宾。b）表示不止一个并且彼此不同：～种原材料都备齐了｜～人回～人的家。
各个	是	代词	指示代词	每个；所有的那些个
各位	是	代词		代称呼眼前的所有人。
各自	是	代词	人称代词	各人自己；各个方面自己的一方
好多	是	代词	疑问代词	多少（问数量）
何	是	代词	疑问代词	代疑问代词。a）什么：～人｜～物｜～事。b）哪里：～往｜从～而来？c）为什么：吾～畏彼哉？
何	是	代词	疑问代词	代疑问代词。表示反问：～济于事？｜～足挂齿？｜谈～容易？｜有～不可？
何处	是	代词		代哪里；什么地方(天涯～无芳草?
何等	是	代词	疑问代词	什么样的
何人		代词		代谁；什么人(～敢如此放肆!
何如		代词	疑问代词	怎么样
何如		代词	疑问代词	怎样的
何许		代词	疑问代词	何处
曷		代词	疑问代词	怎么。
曷		代词	疑问代词	何时。
后者	是	代词		代称上文所列举的两件事中的后一件或两个人中的后一个(跟“前者”相对)(“油船”和“游船”，音同义不同，前者是运油的船，～是旅游观光船。
胡	是	代词	疑问代词	代疑问代词。为什么；何故：～不归？
或	是	代词	指示代词	代指示代词。某人；有的人：～告之曰。
几多		代词	疑问代词	a）询问数量
几儿		代词	疑问代词	哪一天
几何	是	代词	疑问代词	多少
