id,POS
1,a
2,ad
3,ag
4,al
5,an
6,b
7,begin
8,bg
9,bl
10,c
11,cc
12,d
13,dg
14,dl
15,e
16,end
17,f
18,g
19,gb
20,gbc
21,gc
22,gg
23,gi
24,gm
25,gp
26,h
27,i
28,j
29,k
30,l
31,m
32,mg
33,Mg
34,mq
35,n
36,nb
37,nba
38,nbc
39,nbp
40,nf
41,ng
42,nh
43,nhd
44,nhm
45,ni
46,nic
47,nis
48,nit
49,nl
50,nm
51,nmc
52,nn
53,nnd
54,nnt
55,nr
56,nr1
57,nr2
58,nrf
59,nrj
60,ns
61,nsf
62,nt
63,ntc
64,ntcb
65,ntcf
66,ntch
67,nth
68,nto
69,nts
70,ntu
71,nx
72,nz
73,o
74,p
75,pba
76,pbei
77,q
78,qg
79,qt
80,qv
81,r
82,rg
83,Rg
84,rr
85,ry
86,rys
87,ryt
88,ryv
89,rz
90,rzs
91,rzt
92,rzv
93,s
94,t
95,tg
96,u
97,ud
98,ude1
99,ude2
100,ude3
101,udeng
102,udh
103,ug
104,uguo
105,uj
106,ul
107,ule
108,ulian
109,uls
110,usuo
111,uv
112,uyy
113,uz
114,uzhe
115,uzhi
116,v
117,vd
118,vf
119,vg
120,vi
121,vl
122,vn
123,vshi
124,vx
125,vyou
126,w
127,wb
128,wd
129,wf
130,wh
131,wj
132,wky
133,wkz
134,wm
135,wn
136,wp
137,ws
138,wt
139,ww
140,wyy
141,wyz
142,x
143,xu
144,xx
145,y
146,yg
147,z
148,zg
